Experiment,Learning Rate,Model Architecture,RMSE
Experiment 1,0.001,"[{'type': 'LSTM', 'units': 128, 'return_sequences': True}, {'type': 'Dropout', 'rate': 0.3}, {'type': 'LSTM', 'units': 64}, {'type': 'Dropout', 'rate': 0.2}, {'type': 'Dense', 'units': 32}, {'type': 'Dropout', 'rate': 0.2}]",70.91267460188372
Experiment 2,0.0001,"[{'type': 'LSTM', 'units': 256, 'return_sequences': True}, {'type': 'Dropout', 'rate': 0.3}, {'type': 'LSTM', 'units': 128}, {'type': 'Dropout', 'rate': 0.2}]",72.01132212713509
Experiment 3,0.001,"[{'type': 'Bidirectional', 'units': 128, 'return_sequences': True}, {'type': 'Dropout', 'rate': 0.3}, {'type': 'Bidirectional', 'units': 64}, {'type': 'Dropout', 'rate': 0.2}]",70.3857784021204
Experiment 4,0.0005,"[{'type': 'LSTM', 'units': 128, 'return_sequences': True}, {'type': 'Dropout', 'rate': 0.3}, {'type': 'LSTM', 'units': 64, 'return_sequences': True}, {'type': 'Dropout', 'rate': 0.2}, {'type': 'LSTM', 'units': 32}, {'type': 'Dropout', 'rate': 0.2}]",70.97507720760022
Experiment 5,0.0001,"[{'type': 'Bidirectional', 'units': 256, 'return_sequences': True}, {'type': 'Dropout', 'rate': 0.3}, {'type': 'Bidirectional', 'units': 128}, {'type': 'Dropout', 'rate': 0.2}]",71.4069421075645
Experiment 6,0.001,"[{'type': 'LSTM', 'units': 64}, {'type': 'Dropout', 'rate': 0.2}, {'type': 'Dense', 'units': 32}, {'type': 'Dropout', 'rate': 0.2}]",70.83992684075528
Experiment 7,0.0001,"[{'type': 'LSTM', 'units': 128, 'return_sequences': True}, {'type': 'Dropout', 'rate': 0.3}, {'type': 'LSTM', 'units': 64, 'return_sequences': True}, {'type': 'Dropout', 'rate': 0.2}, {'type': 'LSTM', 'units': 32}, {'type': 'Dropout', 'rate': 0.2}]",72.81377533440602
Experiment 8,0.0005,"[{'type': 'Bidirectional', 'units': 128, 'return_sequences': True}, {'type': 'Dropout', 'rate': 0.3}, {'type': 'Bidirectional', 'units': 64}, {'type': 'Dropout', 'rate': 0.2}, {'type': 'Dense', 'units': 32}, {'type': 'Dropout', 'rate': 0.2}]",70.69554935913494
Experiment 9,0.0001,"[{'type': 'LSTM', 'units': 256, 'return_sequences': True}, {'type': 'Dropout', 'rate': 0.3}, {'type': 'LSTM', 'units': 128, 'return_sequences': True}, {'type': 'Dropout', 'rate': 0.2}, {'type': 'LSTM', 'units': 64}, {'type': 'Dropout', 'rate': 0.2}]",71.69961392298163
Experiment 10,0.0001,"[{'type': 'Bidirectional', 'units': 256, 'return_sequences': True}, {'type': 'Dropout', 'rate': 0.3}, {'type': 'Bidirectional', 'units': 128, 'return_sequences': True}, {'type': 'Dropout', 'rate': 0.2}, {'type': 'Bidirectional', 'units': 64}, {'type': 'Dropout', 'rate': 0.2}]",71.29746372042567
Experiment 11,0.0005,"[{'type': 'Bidirectional', 'units': 64, 'return_sequences': True, 'kernel_regularizer': 'l2(0.01)'}, {'type': 'Dropout', 'rate': 0.4}, {'type': 'Bidirectional', 'units': 32}, {'type': 'Dropout', 'rate': 0.3}]",71.36310534677429
Experiment 12,0.0001,"[{'type': 'GRU', 'units': 128, 'return_sequences': True}, {'type': 'Dropout', 'rate': 0.3}, {'type': 'GRU', 'units': 64}, {'type': 'Dropout', 'rate': 0.2}, {'type': 'Dense', 'units': 32}]",83.17896937541666
Experiment 13,0.0005,"[{'type': 'LSTM', 'units': 128, 'return_sequences': True}, {'type': 'Dropout', 'rate': 0.3}, {'type': 'LSTM', 'units': 64}, {'type': 'Dropout', 'rate': 0.2}]",70.80056498085577
